PRICE,BEDS,PROPERTYSQFT,SUBLOCALITY_ENCODED,TYPE_ENCODED
614900,3,1495.0,2.0,6.0
599000,4,1500.0,11.0,1.0
950000,6,,10.0,4.0
11000000,5,,10.0,2.0
348000,3,,2.0,7.0
965000,3,540.0,6.0,0.0
1095000,4,2280.0,2.0,4.0
2295000,2,1242.0,4.0,0.0
13500000,5,,1.0,9.0
49500,3,800.0,7.0,3.0
460000,3,2256.0,3.0,1.0
825000,12,,3.0,4.0
1230250,3,1590.0,10.0,1.0
799999,3,1344.0,3.0,1.0
259500,2,,8.0,3.0
1300000,15,4920.0,3.0,4.0
749000,2,1300.0,8.0,0.0
265000,2,660.0,2.0,1.0
575000,2,900.0,10.0,1.0
849000,4,2180.0,11.0,4.0
875000,2,1214.0,10.0,1.0
599999,3,1360.0,2.0,1.0
1150000,5,,10.0,4.0
1188000,4,3840.0,2.0,9.0
579900,3,2640.0,2.0,8.0
1295000,4,2440.0,10.0,4.0
250000,3,1376.0,3.0,1.0
1395000,3,,11.0,7.0
1648000,3,1751.0,10.0,2.0
1675000,4,,10.0,1.0
950000,3,1748.0,10.0,1.0
449500,1,,1.0,3.0
184888,3,500.0,8.0,9.0
399000,3,500.0,4.0,0.0
209000,1,1078.0,7.0,3.0
280000,3,1100.0,7.0,3.0
625000,3,,10.0,1.0
275000,3,,4.0,3.0
924800,4,2049.0,2.0,4.0
1300000,6,2112.0,10.0,1.0
995000,5,2288.0,2.0,4.0
16500000,5,4105.0,1.0,0.0
695000,3,1793.0,2.0,2.0
16500000,5,4105.0,1.0,0.0
695000,3,1793.0,2.0,2.0
998000,5,1738.0,10.0,4.0
899000,7,1980.0,2.0,4.0
849000,6,,10.0,4.0
235000,3,,8.0,3.0
399999,2,,10.0,1.0
520000,4,1701.0,3.0,1.0
485000,3,,6.0,0.0
215000,3,1100.0,6.0,3.0
1288000,6,2640.0,2.0,4.0
270000,2,900.0,8.0,3.0
375000,2,1200.0,7.0,3.0
565000,1,,6.0,3.0
849000,4,,3.0,4.0
199000,2,,8.0,3.0
5500000,8,9000.0,11.0,1.0
899000,4,,10.0,1.0
699000,3,2350.0,3.0,1.0
27750000,7,8139.0,4.0,0.0
739000,3,1148.0,10.0,1.0
425000,3,1700.0,11.0,4.0
300000,2,900.0,9.0,3.0
569000,3,1780.0,11.0,1.0
789000,5,1273.0,10.0,1.0
10500000,3,2753.0,4.0,0.0
350000,2,825.0,6.0,3.0
5895000,8,6312.0,3.0,9.0
1250000,7,,3.0,4.0
1499999,4,2264.0,3.0,2.0
1488000,6,,3.0,4.0
285000,3,,10.0,7.0
699000,3,,10.0,4.0
924900,3,1404.0,3.0,1.0
560000,4,2318.0,11.0,8.0
1998000,12,5100.0,3.0,4.0
309000,3,,8.0,9.0
925000,4,2160.0,11.0,4.0
999000,4,,10.0,1.0
699000,2,833.0,8.0,0.0
278500,2,,8.0,3.0
738000,3,,4.0,3.0
900000,4,2700.0,10.0,1.0
369000,1,1470.0,8.0,3.0
609000,3,1620.0,11.0,1.0
758000,3,1278.0,10.0,0.0
728000,3,1890.0,2.0,0.0
314900,3,1200.0,3.0,1.0
2848000,6,4443.0,10.0,1.0
1298000,3,2046.0,10.0,1.0
1095000,4,2500.0,10.0,3.0
434900,3,1286.0,9.0,0.0
375000,2,1350.0,7.0,3.0
1375000,14,6000.0,11.0,4.0
4680000,3,2400.0,1.0,2.0
549000,2,1200.0,8.0,3.0
549000,3,1400.0,2.0,1.0
950000,3,1520.0,10.0,1.0
388000,3,,4.0,0.0
5600000,6,4917.0,1.0,2.0
1600000,8,3472.0,10.0,4.0
6995000,5,3912.0,1.0,2.0
1399000,6,,10.0,4.0
399000,3,1350.0,10.0,1.0
529900,1,630.0,6.0,9.0
999000,5,,10.0,9.0
575000,2,,8.0,0.0
659900,3,,8.0,9.0
2200000,6,2385.0,3.0,2.0
898888,5,1550.0,10.0,4.0
1250000,5,3427.0,2.0,1.0
1188000,3,2240.0,3.0,4.0
869999,5,2080.0,2.0,4.0
219000,3,1050.0,6.0,3.0
210000,3,1840.0,3.0,1.0
799000,6,,3.0,4.0
298000,3,1100.0,7.0,3.0
1248888,4,3500.0,2.0,1.0
1075000,2,955.0,4.0,9.0
1695000,2,1572.0,6.0,9.0
3795000,3,1887.0,3.0,0.0
550000,2,,8.0,0.0
775000,3,,4.0,3.0
249900,2,800.0,2.0,8.0
650000,4,1152.0,2.0,1.0
410000,1,,6.0,3.0
1650000,9,4320.0,3.0,4.0
1600000,2,1100.0,4.0,9.0
325000,2,,8.0,3.0
275000,2,900.0,9.0,6.0
700000,3,1620.0,11.0,1.0
930000,3,,10.0,1.0
379000,1,704.0,7.0,0.0
1150000,3,1376.0,3.0,1.0
568888,3,1100.0,10.0,3.0
1200000,4,2052.0,2.0,1.0
899900,3,2550.0,2.0,8.0
